fips,county,state,longitude,latitude,cases_total,type,count
8001.0,Adams,Colorado,-104.3379,39.8736,9,imported,1
8001.0,Adams,Colorado,-104.3379,39.8736,9,local,8
12001.0,Alachua,Florida,-82.3577,29.6747,2,imported,1
12001.0,Alachua,Florida,-82.3577,29.6747,2,local,1
2020.0,Anchorage,Alaska,-149.1082,61.1498,3,imported,2
2020.0,Anchorage,Alaska,-149.1082,61.1498,3,local,1
8005.0,Arapahoe,Colorado,-104.3393,39.6498,6,imported,4
8005.0,Arapahoe,Colorado,-104.3393,39.6498,6,local,2
24510.0,Baltimore,Maryland,-76.6144,39.3051,3,imported,3
24510.0,Baltimore,Maryland,-76.6144,39.3051,3,local,0
48019.0,Bandera,Texas,-99.2463,29.7472,5,imported,0
48019.0,Bandera,Texas,-99.2463,29.7472,5,local,5
0.0,Bear River,Utah,-112.1381,41.661,14,imported,0
0.0,Bear River,Utah,-112.1381,41.661,14,local,14
45013.0,Beaufort,South Carolina,-80.7306,32.3857,1,imported,0
45013.0,Beaufort,South Carolina,-80.7306,32.3857,1,local,1
34003.0,Bergen,New Jersey,-74.0742,40.9597,4,imported,1
34003.0,Bergen,New Jersey,-74.0742,40.9597,4,local,3
42011.0,Berks,Pennsylvania,-75.926,40.4163,3,imported,0
42011.0,Berks,Pennsylvania,-75.926,40.4163,3,local,3
48029.0,Bexar,Texas,-98.52,29.4489,3,imported,0
48029.0,Bexar,Texas,-98.52,29.4489,3,local,3
16017.0,Bonner,Idaho,-116.6011,48.3,1,imported,0
16017.0,Bonner,Idaho,-116.6011,48.3,1,local,1
16019.0,Bonneville,Idaho,-111.6148,43.3877,5,imported,2
16019.0,Bonneville,Idaho,-111.6148,43.3877,5,local,3
16021.0,Boundary,Idaho,-116.4629,48.7669,6,imported,0
16021.0,Boundary,Idaho,-116.4629,48.7669,6,local,6
46011.0,Brookings,South Dakota,-96.7904,44.3697,3,imported,0
46011.0,Brookings,South Dakota,-96.7904,44.3697,3,local,3
8014.0,Broomfield,Colorado,-105.0527,39.9541,4,imported,0
8014.0,Broomfield,Colorado,-105.0527,39.9541,4,local,4
12011.0,Broward,Florida,-80.4871,26.1523,7,imported,4
12011.0,Broward,Florida,-80.4871,26.1523,7,local,3
46013.0,Brown,South Dakota,-98.3516,45.5898,1,imported,1
46013.0,Brown,South Dakota,-98.3516,45.5898,1,local,0
13029.0,Bryan,Georgia,-81.4436,32.0145,1,imported,1
13029.0,Bryan,Georgia,-81.4436,32.0145,1,local,0
37021.0,Buncombe,North Carolina,-82.5301,35.6112,7,imported,3
37021.0,Buncombe,North Carolina,-82.5301,35.6112,7,local,4
37023.0,Burke,North Carolina,-81.7048,35.7496,1,imported,0
37023.0,Burke,North Carolina,-81.7048,35.7496,1,local,1
46019.0,Butte,South Dakota,-103.5079,44.9058,4,imported,4
46019.0,Butte,South Dakota,-103.5079,44.9058,4,local,0
37025.0,Cabarrus,North Carolina,-80.5519,35.3868,2,imported,0
37025.0,Cabarrus,North Carolina,-80.5519,35.3868,2,local,2
16027.0,Canyon,Idaho,-116.7093,43.6251,6,imported,0
16027.0,Canyon,Idaho,-116.7093,43.6251,6,local,6
56007.0,Carbon,Wyoming,-106.9306,41.6944,7,imported,1
56007.0,Carbon,Wyoming,-106.9306,41.6944,7,local,6
38017.0,Cass,North Dakota,-97.248,46.933,8,imported,2
38017.0,Cass,North Dakota,-97.248,46.933,8,local,6
19.0,Central,Iowa,-93.40754375,41.84471875,3,imported,2
19.0,Central,Iowa,-93.40754375,41.84471875,3,local,1
0.0,Central,Utah,-111.948021,40.385835,108,imported,0
0.0,Central,Utah,-111.948021,40.385835,108,local,108
24.0,Central Region,Maryland,-76.6389,39.2764,5,imported,5
24.0,Central Region,Maryland,-76.6389,39.2764,5,local,0
0.0,Central Region,Virginia,-78.21679447,37.4025616,156,imported,0
0.0,Central Region,Virginia,-78.21679447,37.4025616,156,local,156
45021.0,Cherokee,South Carolina,-81.6206,35.0481,36,imported,0
45021.0,Cherokee,South Carolina,-81.6206,35.0481,36,local,36
42029.0,Chester,Pennsylvania,-75.7484,39.9731,7,imported,1
42029.0,Chester,Pennsylvania,-75.7484,39.9731,7,local,6
41005.0,Clackamas,Oregon,-122.2208,45.188,2,imported,0
41005.0,Clackamas,Oregon,-122.2208,45.188,2,local,2
32003.0,Clark,Nevada,-115.0135,36.2152,1,imported,0
32003.0,Clark,Nevada,-115.0135,36.2152,1,local,1
53011.0,Clark,Washington,-122.4825,45.7792,8,imported,1
53011.0,Clark,Washington,-122.4825,45.7792,8,local,7
13.0,Coastal Health District,Georgia,-81.37,31.81,1,imported,1
13.0,Coastal Health District,Georgia,-81.37,31.81,1,local,0
4005.0,Coconino,Arizona,-111.7705,35.8387,5,imported,0
4005.0,Coconino,Arizona,-111.7705,35.8387,5,local,5
12021.0,Collier,Florida,-81.3474,26.1108,107,imported,3
12021.0,Collier,Florida,-81.3474,26.1108,107,local,104
6013.0,Contra Costa,California,-121.9275,37.9192,1,imported,0
6013.0,Contra Costa,California,-121.9275,37.9192,1,local,1
17031.0,Cook,Illinois,-87.8168,41.8401,8,imported,2
17031.0,Cook,Illinois,-87.8168,41.8401,8,local,6
42041.0,Cumberland,Pennsylvania,-77.2655,40.1636,2,imported,0
42041.0,Cumberland,Pennsylvania,-77.2655,40.1636,2,local,2
39035.0,Cuyahoga,Ohio,-81.6586,41.4243,5,imported,2
39035.0,Cuyahoga,Ohio,-81.6586,41.4243,5,local,3
55025.0,Dane,Wisconsin,-89.4181,43.0673,1,imported,1
55025.0,Dane,Wisconsin,-89.4181,43.0673,1,local,0
42043.0,Dauphin,Pennsylvania,-76.7794,40.4155,2,imported,0
42043.0,Dauphin,Pennsylvania,-76.7794,40.4155,2,local,2
49011.0,Davis,Utah,-112.1115,40.99,15,imported,0
49011.0,Davis,Utah,-112.1115,40.99,15,local,15
8029.0,Delta,Colorado,-107.8629,38.8614,1,imported,0
8029.0,Delta,Colorado,-107.8629,38.8614,1,local,1
35013.0,Dona Ana,New Mexico,-106.8328,32.3526,5,imported,0
35013.0,Dona Ana,New Mexico,-106.8328,32.3526,5,local,5
38025.0,Dunn,North Dakota,-102.6182,47.3568,1,imported,0
38025.0,Dunn,North Dakota,-102.6182,47.3568,1,local,1
12031.0,Duval,Florida,-81.6715,30.3313,7,imported,0
12031.0,Duval,Florida,-81.6715,30.3313,7,local,7
0.0,Eastern Region,Virginia,-76.44495462,36.95649803,2,imported,0
0.0,Eastern Region,Virginia,-76.44495462,36.95649803,2,local,2
46045.0,Edmunds,South Dakota,-99.2153,45.4188,1,imported,0
46045.0,Edmunds,South Dakota,-99.2153,45.4188,1,local,1
48141.0,El Paso,Texas,-106.2348,31.7686,85,imported,0
48141.0,El Paso,Texas,-106.2348,31.7686,85,local,85
36029.0,Erie,New York,-78.7323,42.7639,2,imported,1
36029.0,Erie,New York,-78.7323,42.7639,2,local,1
12033.0,Escambia,Florida,-87.363,30.669,5,imported,1
12033.0,Escambia,Florida,-87.363,30.669,5,local,4
39049.0,Franklin,Ohio,-83.0093,39.9695,14,imported,0
39049.0,Franklin,Ohio,-83.0093,39.9695,14,local,14
56013.0,Fremont,Wyoming,-108.6304,43.0405,6,imported,0
56013.0,Fremont,Wyoming,-108.6304,43.0405,6,local,6
48163.0,Frio,Texas,-99.1082,28.8678,2,imported,0
48163.0,Frio,Texas,-99.1082,28.8678,2,local,2
13121.0,Fulton,Georgia,-84.467,33.7902,13,imported,5
13121.0,Fulton,Georgia,-84.467,33.7902,13,local,8
30031.0,Gallatin,Montana,-111.1704,45.5404,23,imported,5
30031.0,Gallatin,Montana,-111.1704,45.5404,23,local,18
