fips,county,state,longitude,latitude,cases_total,type,count
0.0,Bear River,Utah,-112.1381,41.661,1,imported,0
0.0,Bear River,Utah,-112.1381,41.661,1,local,1
38017.0,Cass,North Dakota,-97.248,46.933,1,imported,0
38017.0,Cass,North Dakota,-97.248,46.933,1,local,1
0.0,Central,Utah,-111.948021,40.385835,18,imported,0
0.0,Central,Utah,-111.948021,40.385835,18,local,18
0.0,Central Region,Virginia,-78.21679447,37.4025616,17,imported,0
0.0,Central Region,Virginia,-78.21679447,37.4025616,17,local,17
13121.0,Fulton,Georgia,-84.467,33.7902,3,imported,3
13121.0,Fulton,Georgia,-84.467,33.7902,3,local,0
38035.0,Grand Forks,North Dakota,-97.4569,47.9219,1,imported,0
38035.0,Grand Forks,North Dakota,-97.4569,47.9219,1,local,1
8065.0,Lake,Colorado,-106.3448,39.2025,2,imported,0
8065.0,Lake,Colorado,-106.3448,39.2025,2,local,2
6037.0,Los Angeles,California,-118.2247,34.3219,1,imported,0
6037.0,Los Angeles,California,-118.2247,34.3219,1,local,1
4013.0,Maricopa,Arizona,-112.4915,33.349,5,imported,0
4013.0,Maricopa,Arizona,-112.4915,33.349,5,local,5
36061.0,New York City,New York,-73.9668,40.7792,2,imported,0
36061.0,New York City,New York,-73.9668,40.7792,2,local,2
12095.0,Orange,Florida,-81.3235,28.5144,2,imported,0
12095.0,Orange,Florida,-81.3235,28.5144,2,local,2
26139.0,Ottawa,Michigan,-85.996,42.9599,1,imported,0
26139.0,Ottawa,Michigan,-85.996,42.9599,1,local,1
0.0,Southwest Health District,Utah,-113.3625,37.449,2,imported,0
0.0,Southwest Health District,Utah,-113.3625,37.449,2,local,2
48453.0,Travis,Texas,-97.782,30.3344,1,imported,0
48453.0,Travis,Texas,-97.782,30.3344,1,local,1
36.0,Unknown County,New York,-74.590827,41.471783,1,imported,0
36.0,Unknown County,New York,-74.590827,41.471783,1,local,1
41.0,Unknown County,Oregon,-122.588257,44.753509,1,imported,0
41.0,Unknown County,Oregon,-122.588257,44.753509,1,local,1
49049.0,Utah,Utah,-111.6702,40.1199,11,imported,0
49049.0,Utah,Utah,-111.6702,40.1199,11,local,11
53071.0,Walla Walla,Washington,-118.4784,46.2298,5,imported,0
53071.0,Walla Walla,Washington,-118.4784,46.2298,5,local,5
49051.0,Wasatch,Utah,-111.1682,40.3308,2,imported,0
49051.0,Wasatch,Utah,-111.1682,40.3308,2,local,2
