County,Imported,Local,Total,Recent 2 Weeks,2025,2026
U.S.,218,3763,3981,195,2213,1768
"Upstate, South Carolina",5,992,997,0,299,698
"Gaines, Texas",0,414,414,0,414,0
"Mohave, Arizona",0,274,274,11,214,60
"Southwest Health District, Utah",0,242,242,23,114,128
"Hudspeth, Texas",0,135,135,27,0,135
"Collier, Florida",3,103,106,2,0,106
"Utah, Utah",0,87,87,12,16,71
"El Paso, Texas",0,85,85,1,61,24
"Lea, New Mexico",0,67,67,0,67,0
"Salt Lake, Utah",0,60,60,8,5,55
"Terry, Texas",0,60,60,0,60,0
"Tricounty, Utah",0,56,56,43,0,56
"Lubbock, Texas",1,52,53,0,52,1
"Central, Utah",0,46,46,17,3,43
"Oconto, Wisconsin",9,27,36,0,36,0
"Gray, Kansas",0,29,29,0,29,0
"Lamar, Texas",0,28,28,0,28,0
"Dawson, Texas",0,26,26,0,26,0
"Unknown County, Minnesota",0,26,26,1,11,15
"Luna, New Mexico",0,25,25,3,14,11
"Rockland, New York",2,23,25,0,21,4
"New York City, New York",0,24,24,1,20,4
"Gallatin, Montana",5,18,23,0,23,0
"Pembina, North Dakota",0,23,23,0,0,23
"Unknown County, Kansas",0,20,20,0,20,0
"Yoakum, Texas",0,20,20,0,20,0
"Haskell, Kansas",0,19,19,0,19,0
"Williams, North Dakota",1,18,19,0,18,1
"Unknown County, Oklahoma",0,18,18,0,17,1
"Ashtabula, Ohio",3,13,16,0,16,0
"Snohomish, Washington",7,9,16,0,2,14
"Tooele, Utah",0,16,16,5,0,16
"Davis, Utah",0,15,15,3,2,13
"Cochran, Texas",0,14,14,0,14,0
"Franklin, Ohio",0,14,14,0,7,7
"Knox, Ohio",0,14,14,0,14,0
"Bear River, Utah",0,13,13,2,4,9
"Ector, Texas",0,12,12,0,12,0
"Mesa, Colorado",0,11,11,0,11,0
"Fulton, Georgia",2,8,10,0,10,0
"Grand Forks, North Dakota",2,8,10,0,10,0
"Shasta, California",0,10,10,1,0,10
"Stevens, Kansas",0,10,10,0,10,0
"Twin Cities Metro Area, Minnesota",10,0,10,0,10,0
"Adams, Colorado",1,8,9,0,4,5
"King, Washington",6,3,9,2,7,2
"Lancaster, Pennsylvania",0,9,9,0,1,8
"Los Angeles, California",9,0,9,0,5,4
"McLennan, Texas",0,9,9,0,9,0
"Northern Region, Virginia",0,9,9,0,0,9
"Placer, California",1,8,9,4,1,8
"Unknown County, Oregon",0,9,9,3,0,9
"Wasatch, Utah",0,9,9,0,9,0
"Allen, Indiana",0,8,8,0,8,0
"Clark, Washington",1,7,8,0,0,8
"Cook, Illinois",2,6,8,0,8,0
"Erie, Pennsylvania",2,6,8,0,8,0
"Lincoln, South Dakota",7,1,8,0,8,0
"Rockwall, Texas",0,8,8,0,2,6
"Williamson, Texas",0,8,8,0,8,0
"Buncombe, North Carolina",3,4,7,0,0,7
"Carbon, Wyoming",1,6,7,0,7,0
"Cass, North Dakota",2,5,7,0,7,0
"Dallam, Texas",0,7,7,0,7,0
"Duval, Florida",0,7,7,0,1,6
"Hockley, Texas",0,7,7,0,7,0
"Lewis and Clark, Montana",0,7,7,2,2,5
"Midland, Texas",0,7,7,0,7,0
"Osceola, Michigan",0,7,7,0,7,0
"Pawnee, Kansas",0,7,7,0,7,0
"Washtenaw, Michigan",1,6,7,4,0,7
"Arapahoe, Colorado",4,2,6,0,5,1
"Boundary, Idaho",0,6,6,0,6,0
"Canyon, Idaho",0,6,6,0,0,6
"Eastern, Iowa",1,5,6,0,6,0
"Faulkner, Arkansas",1,5,6,0,6,0
"Fayette, Kentucky",0,6,6,0,6,0
"Grant, South Dakota",5,1,6,0,0,6
"Kiowa, Kansas",0,6,6,0,6,0
"Pinellas, Florida",0,6,6,0,0,6
"Sandoval, New Mexico",0,6,6,0,6,0
"Southwest Region, Virginia",0,6,6,2,0,6
"Bandera, Texas",0,5,5,0,0,5
"Bonneville, Idaho",2,3,5,0,5,0
"Broward, Florida",2,3,5,0,2,3
"Cedar, Missouri",0,5,5,0,5,0
"Cuyahoga, Ohio",2,3,5,0,2,3
"Dona Ana, New Mexico",0,5,5,0,2,3
"Escambia, Florida",1,4,5,0,0,5
"Fremont, Wyoming",0,5,5,0,5,0
"Hale, Texas",0,5,5,0,5,0
"Harris, Texas",0,5,5,0,5,0
"Parmer, Texas",0,5,5,0,5,0
"Penobscot, Maine",1,4,5,0,0,5
"Polk, North Carolina",1,4,5,0,1,4
"Ransom, North Dakota",0,5,5,5,0,5
"Santa Fe, New Mexico",1,4,5,0,5,0
"Southeast Health District, Utah",0,5,5,1,3,2
"Summit, Utah",0,5,5,2,0,5
"Unknown County, Illinois",0,5,5,2,2,3
"Upshur, Texas",0,5,5,0,5,0
"Bergen, New Jersey",1,3,4,0,4,0
"Broomfield, Colorado",0,4,4,0,0,4
"Butte, South Dakota",4,0,4,0,4,0
"Collin, Texas",0,4,4,0,4,0
"Denver, Colorado",3,1,4,0,4,0
"El Paso, Colorado",4,0,4,0,4,0
"Fannin, Texas",0,4,4,0,4,0
"Grand Traverse, Michigan",0,4,4,0,4,0
"Hill, Montana",0,4,4,0,4,0
"Jessamine, Kentucky",0,4,4,0,0,4
"Kent, Michigan",2,2,4,0,4,0
"Maricopa, Arizona",0,4,4,0,0,4
"Montcalm, Michigan",1,3,4,0,4,0
"Montezuma, Colorado",0,4,4,0,4,0
"Montgomery, Pennsylvania",1,3,4,0,1,3
"Navajo, Arizona",4,0,4,0,4,0
"Orange, California",3,1,4,0,2,2
"Orange, New York",3,1,4,0,4,0
"Riverside, California",1,3,4,0,1,3
"Tarrant, Texas",0,4,4,0,4,0
"Unknown County, California",0,4,4,0,3,1
"Upper Cumberland Region, Tennessee",0,4,4,0,4,0
"Williamson, Illinois",0,4,4,0,4,0
"Yellowstone, Montana",0,4,4,0,4,0
"Anchorage, Alaska",2,1,3,0,3,0
"Andrews, Texas",0,3,3,0,3,0
"Coconino, Arizona",0,3,3,2,1,2
"Eddy, New Mexico",0,3,3,0,3,0
"Lee, Florida",0,3,3,0,0,3
"Madison, Idaho",0,3,3,0,1,2
"Manatee, Florida",1,2,3,0,0,3
"Martin, Texas",0,3,3,0,3,0
"Mecklenburg, North Carolina",0,3,3,0,0,3
"Mid-Cumberland Region, Tennessee",0,3,3,0,3,0
"Muskegon, Michigan",0,3,3,0,3,0
"Muskingum, Ohio",0,3,3,0,3,0
"Northwest Region, Virginia",2,1,3,0,3,0
"Pasco, Florida",0,3,3,2,0,3
"Pima, Arizona",0,3,3,0,1,2
"Pinal, Arizona",0,3,3,0,0,3
"Randall, Texas",0,3,3,0,3,0
"Sacramento, California",2,1,3,0,1,2
"San Juan, Utah",0,3,3,0,0,3
"San Mateo, California",3,0,3,0,1,2
"St. Johns, Florida",0,3,3,0,0,3
"Stevens, Washington",0,3,3,0,0,3
"Sumter, South Carolina",0,3,3,0,3,0
"Unknown County, Nebraska",0,3,3,0,1,2
"Unknown County, New Jersey",2,1,3,0,3,0
"Weld, Colorado",0,3,3,0,1,2
"Woodford, Kentucky",0,3,3,0,3,0
"Alachua, Florida",1,1,2,0,0,2
"Bailey, Texas",0,2,2,0,2,0
"Bexar, Texas",1,1,2,0,2,0
"Cabarrus, North Carolina",0,2,2,0,0,2
"Central Region, Virginia",0,2,2,0,1,1
"Central, Iowa",1,1,2,0,2,0
"Clackamas, Oregon",0,2,2,0,0,2
"Cumberland, Pennsylvania",0,2,2,0,2,0
"Denton, Texas",0,2,2,0,2,0
"Eastern Region, Virginia",0,2,2,1,1,1
"Eastland, Texas",0,2,2,0,2,0
"Flathead, Montana",2,0,2,0,2,0
"Fresno, California",1,1,2,0,2,0
"Frio, Texas",0,2,2,0,0,2
"Garza, Texas",0,2,2,0,2,0
"Grant, Washington",0,2,2,0,0,2
"Hennepin, Minnesota",2,0,2,0,2,0
"Hidalgo, New Mexico",0,2,2,0,0,2
"Hillsborough, Florida",0,2,2,0,0,2
"Honolulu, Hawaii",2,0,2,0,2,0
"Hudson, New Jersey",0,2,2,0,2,0
"Jefferson, Kentucky",1,1,2,0,2,0
"Kootenai, Idaho",0,2,2,0,1,1
"Lake, Indiana",0,2,2,0,2,0
"Leon, Florida",1,1,2,0,2,0
"Linn, Oregon",0,2,2,0,0,2
"Lynn, Texas",0,2,2,0,2,0
"Macomb, Michigan",1,1,2,0,2,0
"Marquette, Michigan",0,2,2,0,2,0
"Meade, South Dakota",1,1,2,0,2,0
"Miami-Dade, Florida",0,2,2,0,1,1
"Oakland, Michigan",1,1,2,0,2,0
"Pennington, South Dakota",1,1,2,0,2,0
"Philadelphia, Pennsylvania",2,0,2,0,2,0
"Prince George's, Maryland",2,0,2,0,2,0
"Reeves, Texas",0,2,2,0,2,0
"Region 1, Louisiana",1,1,2,0,2,0
"Santa Clara, California",2,0,2,0,1,1
"Spokane, Washington",1,1,2,1,1,1
"Travis, Texas",0,2,2,0,2,0
"Tulare, California",0,2,2,0,2,0
"Tuolumne, California",2,0,2,0,2,0
"Union, North Carolina",0,2,2,0,0,2
"Unknown County, Idaho",0,2,2,0,2,0
"Weber-Morgan, Utah",0,2,2,0,0,2
"Whatcom, Washington",2,0,2,0,2,0
"Allegan, Michigan",0,1,1,0,1,0
"Allen, Ohio",1,0,1,0,1,0
"Archuleta, Colorado",0,1,1,0,1,0
"Atascosa, Texas",0,1,1,0,1,0
"Bell, Texas",0,1,1,0,1,0
"Benton, Arkansas",0,1,1,0,1,0
"Bonner, Idaho",0,1,1,0,1,0
"Borden, Texas",0,1,1,0,1,0
"Boulder, Colorado",1,0,1,0,1,0
"Brazoria, Texas",0,1,1,0,1,0
"Brewster, Texas",0,1,1,0,1,0
"Brookings, South Dakota",0,1,1,0,0,1
"Brown, South Dakota",1,0,1,0,0,1
"Brown, Texas",0,1,1,0,1,0
"Bryan, Georgia",1,0,1,0,0,1
"Bucks, Pennsylvania",1,0,1,0,1,0
"Burke, North Carolina",0,1,1,0,0,1
"Burke, North Dakota",1,0,1,0,1,0
"Carson, Texas",0,1,1,0,1,0
"Cascade, Montana",0,1,1,0,1,0
"Chaves, New Mexico",0,1,1,0,1,0
"Chester, Pennsylvania",1,0,1,0,0,1
"Clark, Nevada",0,1,1,0,1,0
