week_number,2018,2019,2020,2021,2022,2023,2024,2025,2026
1,18.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,83.0
2,21.0,33.0,1.0,0.0,0.0,2.0,6.0,0.0,276.0
3,28.0,60.0,4.0,0.0,0.0,2.0,8.0,2.0,458.0
4,28.0,101.0,6.0,0.0,0.0,2.0,13.0,6.0,661.0
5,28.0,142.0,10.0,0.0,1.0,2.0,16.0,8.0,837.0
6,29.0,166.0,11.0,0.0,1.0,2.0,30.0,14.0,943.0
7,30.0,207.0,11.0,0.0,2.0,3.0,39.0,60.0,1024.0
8,32.0,224.0,12.0,0.0,2.0,3.0,45.0,104.0,1113.0
9,37.0,259.0,12.0,0.0,2.0,4.0,48.0,166.0,1182.0
10,42.0,302.0,12.0,0.0,2.0,5.0,60.0,206.0,1363.0
11,50.0,357.0,12.0,0.0,2.0,6.0,98.0,272.0,1492.0
12,57.0,463.0,12.0,0.0,2.0,7.0,107.0,478.0,1581.0
13,62.0,547.0,12.0,0.0,2.0,8.0,117.0,490.0,1685.0
14,69.0,648.0,12.0,1.0,2.0,10.0,121.0,638.0,1718.0
15,77.0,717.0,12.0,1.0,2.0,10.0,124.0,739.0,1769.0
16,86.0,793.0,12.0,2.0,2.0,10.0,128.0,824.0,1802.0
17,92.0,845.0,12.0,2.0,2.0,11.0,128.0,895.0,1839.0
18,99.0,918.0,12.0,2.0,2.0,11.0,132.0,964.0,1878.0
19,100.0,948.0,12.0,2.0,3.0,13.0,137.0,1019.0,1924.0
20,102.0,994.0,12.0,2.0,3.0,15.0,142.0,1048.0,1949.0
21,104.0,1041.0,12.0,2.0,3.0,17.0,148.0,1084.0,1995.0
22,104.0,1071.0,12.0,2.0,3.0,18.0,148.0,1128.0,2051.0
23,106.0,1090.0,12.0,2.0,5.0,18.0,152.0,1169.0,2082.0
24,109.0,1112.0,12.0,2.0,6.0,18.0,156.0,1196.0,2113.0
25,112.0,1121.0,12.0,2.0,6.0,18.0,159.0,1219.0,2145.0
26,117.0,1132.0,12.0,2.0,6.0,18.0,166.0,1247.0,2175.0
27,120.0,1144.0,12.0,2.0,6.0,18.0,179.0,1282.0,2241.0
28,130.0,1165.0,12.0,2.0,6.0,18.0,190.0,1296.0,2274.0
29,132.0,1176.0,12.0,2.0,6.0,20.0,197.0,1310.0,2295.0
30,134.0,1182.0,12.0,2.0,6.0,20.0,209.0,1327.0,
31,145.0,1192.0,12.0,2.0,6.0,21.0,216.0,1344.0,
32,147.0,1200.0,12.0,2.0,8.0,21.0,225.0,1351.0,
33,153.0,1209.0,12.0,2.0,10.0,22.0,233.0,1368.0,
34,156.0,1211.0,12.0,2.0,12.0,22.0,244.0,1396.0,
35,158.0,1213.0,12.0,4.0,14.0,22.0,254.0,1420.0,
36,158.0,1213.0,12.0,9.0,16.0,25.0,257.0,1446.0,
37,159.0,1216.0,12.0,22.0,20.0,26.0,260.0,1476.0,
38,159.0,1217.0,12.0,26.0,24.0,31.0,261.0,1493.0,
39,161.0,1219.0,12.0,43.0,26.0,36.0,263.0,1521.0,
40,162.0,1223.0,12.0,44.0,28.0,37.0,264.0,1551.0,
41,177.0,1230.0,12.0,47.0,30.0,38.0,267.0,1568.0,
42,188.0,1232.0,12.0,47.0,31.0,38.0,268.0,1602.0,
43,227.0,1235.0,12.0,47.0,37.0,40.0,271.0,1623.0,
44,245.0,1236.0,13.0,47.0,48.0,41.0,275.0,1661.0,
45,291.0,1239.0,13.0,47.0,57.0,41.0,278.0,1688.0,
46,311.0,1244.0,13.0,47.0,66.0,41.0,278.0,1728.0,
47,342.0,1244.0,13.0,47.0,91.0,41.0,280.0,1761.0,
48,359.0,1244.0,13.0,47.0,102.0,43.0,280.0,1809.0,
49,372.0,1244.0,13.0,47.0,113.0,45.0,280.0,1846.0,
50,380.0,1248.0,13.0,47.0,118.0,48.0,280.0,1926.0,
51,384.0,1249.0,13.0,47.0,121.0,59.0,281.0,1988.0,
52,400.0,1250.0,13.0,47.0,121.0,63.0,282.0,2026.0,
53,400.0,1250.0,13.0,47.0,121.0,63.0,282.0,2286.0,
