FIPS,County,State,SY2024_25
,Anchorage,AK,0.76
,Gulf Coast,AK,0.73
,Interior,AK,0.62
,Mat-Su,AK,0.74
,Northern,AK,0.94
,Southeast,AK,0.83
,Southwest,AK,0.91
1001,Autauga,AL,0.936
1003,Baldwin,AL,0.9332
1005,Barbour,AL,0.9833
1007,Bibb,AL,0.9592
1009,Blount,AL,0.9717
1011,Bullock,AL,0.9487
1013,Butler,AL,0.9304
1015,Calhoun,AL,0.9435
1017,Chambers,AL,0.9705
1019,Cherokee,AL,0.9479
1021,Chilton,AL,0.954
1023,Choctaw,AL,0.8977
1025,Clarke,AL,0.9478
1027,Clay,AL,0.933
1029,Cleburne,AL,0.9144
1031,Coffee,AL,0.9535
1033,Colbert,AL,0.9597
1035,Conecuh,AL,0.9302
1037,Coosa,AL,1
1039,Covington,AL,0.9626
1041,Crenshaw,AL,0.9527
1043,Cullman,AL,0.938
1045,Dale,AL,0.9649
1047,Dallas,AL,0.9474
1049,DeKalb,AL,0.9273
1051,Elmore,AL,0.9288
1053,Escambia,AL,0.9656
1055,Etowah,AL,0.9409
1057,Fayette,AL,0.9365
1059,Franklin,AL,0.9939
1061,Geneva,AL,0.9817
1063,Greene,AL,0.85
1065,Hale,AL,0.963
1067,Henry,AL,0.9581
1069,Houston,AL,0.9509
1071,Jackson,AL,0.9354
1073,Jefferson,AL,0.9643
1075,Lamar,AL,0.9636
1077,Lauderdale,AL,0.9609
1079,Lawrence,AL,0.941
1081,Lee,AL,0.9702
1083,Limestone,AL,0.9474
1085,Lowndes,AL,0.9099
1087,Macon,AL,0.9394
1089,Madison,AL,0.9527
1091,Marengo,AL,0.9469
1093,Marion,AL,0.9332
1095,Marshall,AL,0.9666
1097,Mobile,AL,0.9469
1099,Monroe,AL,0.9615
1101,Montgomery,AL,0.9495
1103,Morgan,AL,0.9612
1105,Perry,AL,0.9512
1107,Pickens,AL,0.9426
1109,Pike,AL,0.9665
1111,Randolph,AL,0.9667
1113,Russell,AL,0.9461
1115,St Clair,AL,0.9274
1117,Shelby,AL,0.9547
1119,Sumter,AL,1
1121,Talladega,AL,0.9651
1123,Tallapoosa,AL,0.9727
1125,Tuscaloosa,AL,0.9272
1127,Walker,AL,0.9651
1129,Washington,AL,0.9275
1131,Wilcox,AL,0.8571
1133,Winston,AL,0.9231
4001,Apache,AZ,0.878
4003,Cochise,AZ,0.923
4005,Coconino,AZ,0.852
4007,Gila,AZ,0.854
4009,Graham,AZ,0.873
4011,Greenlee,AZ,0.806
4012,La Paz,AZ,0.9
4013,Maricopa,AZ,0.882
4015,Mohave,AZ,0.784
4017,Navajo,AZ,0.8
4019,Pima,AZ,0.935
4021,Pinal,AZ,0.899
4023,Santa Cruz,AZ,0.982
4025,Yavapai,AZ,0.753
4027,Yuma,AZ,0.945
6001,Alameda,CA,0.97051
6003,Alpine,CA,
6005,Amador,CA,0.9532
6007,Butte,CA,0.96591
6009,Calaveras,CA,0.94862
6011,Colusa,CA,0.96181
6013,Contra Costa,CA,0.97928
6015,Del Norte,CA,0.93075
6017,El Dorado,CA,0.7664
6019,Fresno,CA,0.974
6021,Glenn,CA,0.84473
6023,Humboldt,CA,0.93358
6025,Imperial,CA,0.99098
6027,Inyo,CA,0.98157
6029,Kern,CA,0.89325
6031,Kings,CA,0.97917
6033,Lake,CA,0.97759
6035,Lassen,CA,0.95103
6037,Los Angeles,CA,0.97352
6039,Madera,CA,0.97727
6041,Marin,CA,0.99034
6043,Mariposa,CA,0.98361
6045,Mendocino,CA,0.96403
6047,Merced,CA,0.97941
6049,Modoc,CA,0.99
6051,Mono,CA,0.99
6053,Monterey,CA,0.98187
6055,Napa,CA,0.97352
6057,Nevada,CA,0.87337
6059,Orange,CA,0.97842
6061,Placer,CA,0.96144
6063,Plumas,CA,0.95431
6065,Riverside,CA,0.95327
6067,Sacramento,CA,0.96313
6069,San Benito,CA,0.98852
6071,San Bernardino,CA,0.93729
6073,San Diego,CA,0.93706
6075,San Francisco,CA,0.98097
6077,San Joaquin,CA,0.95974
6079,San Luis Obispo,CA,0.97299
6081,San Mateo,CA,0.97567
6083,Santa Barbara,CA,0.98478
6085,Santa Clara,CA,0.99021
6087,Santa Cruz,CA,0.91092
6089,Shasta,CA,0.94368
6091,Sierra,CA,0.94828
6093,Siskiyou,CA,0.9687
6095,Solano,CA,0.98515
6097,Sonoma,CA,0.96058
6099,Stanislaus,CA,0.95648
6101,Sutter,CA,0.77217
6103,Tehama,CA,0.97516
6105,Trinity,CA,0.9037
6107,Tulare,CA,0.97501
6109,Tuolumne,CA,0.90047
6111,Ventura,CA,0.96377
6113,Yolo,CA,0.97685
6115,Yuba,CA,0.96114
8001,Adams,CO,0.9163
8003,Alamosa,CO,0.8
8005,Arapahoe,CO,0.8671
8007,Archuleta,CO,0.8148
8009,Baca,CO,0.907
8011,Bent,CO,0.9565
8013,Boulder,CO,0.9055
8014,Broomfield,CO,0.9257
8015,Chaffee,CO,0.8261
8017,Cheyenne,CO,0.8182
8019,Clear Creek,CO,0.7551
8021,Conejos,CO,0.9059
8023,Costilla,CO,0.9722
8025,Crowley,CO,0.8824
8027,Custer,CO,0.8947
8029,Delta,CO,0.8
8031,Denver,CO,0.8688
8033,Dolores,CO,0.7778
8035,Douglas,CO,0.91
8037,Eagle,CO,0.9036
8039,Elbert,CO,0.795
8041,El Paso,CO,0.7652
8043,Fremont,CO,0.8731
8045,Garfield,CO,0.9386
8047,Gilpin,CO,0.96
8049,Grand,CO,0.84
8051,Gunnison,CO,0.8456
8053,Hinsdale,CO,0.8
8055,Huerfano,CO,0.9184
8057,Jackson,CO,0.875
8059,Jefferson,CO,0.917
8061,Kiowa,CO,1
8063,Kit Carson,CO,0.8947
8065,Lake,CO,0.875
8067,La Plata,CO,0.8987
8069,Larimer,CO,0.9047
8071,Las Animas,CO,0.8182
8073,Lincoln,CO,0.8644
8075,Logan,CO,0.9375
8077,Mesa,CO,0.8567
8079,Mineral,CO,1
8081,Moffat,CO,0.9512
8083,Montezuma,CO,0.8378
8085,Montrose,CO,0.8564
8087,Morgan,CO,0.9203
8089,Otero,CO,0.932
8091,Ouray,CO,0.8846
8093,Park,CO,0.8588
8095,Phillips,CO,0.9804
8097,Pitkin,CO,0.88
8099,Prowers,CO,0.9701
8101,Pueblo,CO,0.8713
8103,Rio Blanco,CO,0.8814
8105,Rio Grande,CO,0.9417
8107,Routt,CO,0.9426
8109,Saguache,CO,0.8116
8111,San Juan,CO,0.8333
8113,San Miguel,CO,0.863
8115,Sedgwick,CO,0.75
8117,Summit,CO,0.9476
8119,Teller,CO,0.7811
8121,Washington,CO,0.9259
8123,Weld,CO,0.9292
8125,Yuma,CO,0.9587
9001,Fairfield,CT,
9003,Hartford,CT,
9005,Litchfield,CT,
9007,Middlesex,CT,
9009,New Haven,CT,
9011,New London,CT,
9013,Tolland,CT,
9015,Windham,CT,
9110,Capitol,CT,0.987
9120,Greater Bridgeport,CT,0.962
9130,Lower CT River Valley,CT,0.982
9140,Naugatuck Valley,CT,0.987
9150,Northeast CT,CT,0.975
9160,Northwest Hills,CT,0.955
9170,South Central,CT,0.987
9180,Southeastern CT,CT,0.983
9190,Western,CT,0.983
11001,District of Columbia,DC,0.927
12001,Alachua,FL,0.919
12003,Baker,FL,0.954
12005,Bay,FL,0.853
12007,Bradford,FL,0.949
12009,Brevard,FL,0.909
12011,Broward,FL,0.822
12013,Calhoun,FL,0.98
12015,Charlotte,FL,0.892
12017,Citrus,FL,0.908
12019,Clay,FL,0.936
12021,Collier,FL,0.863
12023,Columbia,FL,0.929
12027,De Soto,FL,0.911
12029,Dixie,FL,0.936
12031,Duval,FL,0.899
12033,Escambia,FL,0.889
12035,Flagler,FL,0.887
12037,Franklin,FL,0.912
12039,Gadsden,FL,0.798
12041,Gilchrist,FL,0.921
12043,Glades,FL,0.94
12045,Gulf,FL,0.945
12047,Hamilton,FL,0.97
12049,Hardee,FL,0.954
12051,Hendry,FL,0.912
12053,Hernando,FL,0.89
12055,Highlands,FL,0.898
12057,Hillsborough,FL,0.86
12059,Holmes,FL,0.936
12061,Indian River,FL,0.912
12063,Jackson,FL,0.922
12065,Jefferson,FL,0.978
12067,Lafayette,FL,0.918
12069,Lake,FL,0.86
12071,Lee,FL,0.924
12073,Leon,FL,0.938
12075,Levy,FL,0.954
12077,Liberty,FL,0.936
12079,Madison,FL,0.93
12081,Manatee,FL,0.898
12083,Marion,FL,0.908
12085,Martin,FL,0.885
12086,Miami-Dade,FL,0.91
12087,Monroe,FL,0.92
12089,Nassau,FL,0.918
12091,Okaloosa,FL,0.9
12093,Okeechobee,FL,0.938
12095,Orange,FL,0.854
12097,Osceola,FL,0.863
12099,Palm Beach,FL,0.898
12101,Pasco,FL,0.919
12103,Pinellas,FL,0.873
12105,Polk,FL,0.925
12107,Putnam,FL,0.901
12109,St Johns,FL,0.906
12111,St Lucie,FL,0.88
12113,Santa Rosa,FL,0.91
12115,Sarasota,FL,0.799
12117,Seminole,FL,0.9
12119,Sumter,FL,0.906
12121,Suwannee,FL,0.893
12123,Taylor,FL,0.971
12125,Union,FL,0.935
12127,Volusia,FL,0.886
12129,Wakulla,FL,0.863
12131,Walton,FL,0.885
12133,Washington,FL,0.881
15001,Hawaii,HI,0.7611
15003,Honolulu,HI,0.8282
15005,Kalawao,HI,
15007,Kauai,HI,0.6616
15009,Maui,HI,0.6943
19001,Adair,IA,0.9
19003,Adams,IA,0.83333333
19005,Allamakee,IA,0.88780488
19007,Appanoose,IA,0.83333333
19009,Audubon,IA,0.83116883
19011,Benton,IA,0.90974729
19013,Black Hawk,IA,0.90699166
19015,Boone,IA,0.93877551
19017,Bremer,IA,0.88202247
19019,Buchanan,IA,0.82592593
19021,Buena Vista,IA,0.80758017
19023,Butler,IA,0.92771084
19025,Calhoun,IA,0.84883721
19027,Carroll,IA,0.90136054
19029,Cass,IA,0.85648148
19031,Cedar,IA,0.92964824
19033,Cerro Gordo,IA,0.9168357
19035,Cherokee,IA,0.859375
19037,Chickasaw,IA,0.91176471
19039,Clarke,IA,0.92741935
19041,Clay,IA,0.875
19043,Clayton,IA,0.81451613
19045,Clinton,IA,0.85464098
19047,Crawford,IA,0.94468085
19049,Dallas,IA,0.93498049
19051,Davis,IA,0.89830508
19053,Decatur,IA,0.84615385
19055,Delaware,IA,0.88372093
19057,Des Moines,IA,0.87437186
19059,Dickinson,IA,0.84615385
19061,Dubuque,IA,0.9237013
19063,Emmet,IA,0.86585366
19065,Fayette,IA,0.81871345
19067,Floyd,IA,0.85882353
19069,Franklin,IA,0.94897959
19071,Fremont,IA,0.8
19073,Greene,IA,0.83
19075,Grundy,IA,0.95348837
19077,Guthrie,IA,0.8375
19079,Hamilton,IA,0.85514019
19081,Hancock,IA,0.92125984
19083,Hardin,IA,0.87214612
19085,Harrison,IA,0.74834437
19087,Henry,IA,0.90865385
19089,Howard,IA,0.90853659
19091,Humboldt,IA,0.72093023
19093,Ida,IA,0.88405797
19095,Iowa,IA,0.91573034
19097,Jackson,IA,0.87804878
19099,Jasper,IA,0.90196078
19101,Jefferson,IA,0.86486486
19103,Johnson,IA,0.87209302
19105,Jones,IA,0.94387755
19107,Keokuk,IA,0.76119403
19109,Kossuth,IA,0.88068182
19111,Lee,IA,0.90555556
19113,Linn,IA,0.90505195
19115,Louisa,IA,0.93103448
19117,Lucas,IA,0.85555556
19119,Lyon,IA,0.9068323
19121,Madison,IA,0.88780488
19123,Mahaska,IA,0.92094862
19125,Marion,IA,0.86976744
19127,Marshall,IA,0.89738431
19129,Mills,IA,0.88023952
19131,Mitchell,IA,0.88888889
19133,Monona,IA,0.84946237
19135,Monroe,IA,0.87209302
19137,Montgomery,IA,0.94047619
19139,Muscatine,IA,0.89800443
19141,O'Brien,IA,0.87443946
19143,Osceola,IA,0.98
19145,Page,IA,0.94610778
19147,Palo Alto,IA,0.94444444
19149,Plymouth,IA,0.88178914
19151,Pocahontas,IA,0.8358209
19153,Polk,IA,0.88672253
19155,Pottawattamie,IA,0.86940639
19157,Poweshiek,IA,0.87700535
19159,Ringgold,IA,0.98275862
19161,Sac,IA,0.93457944
19163,Scott,IA,0.88769004
19165,Shelby,IA,0.86075949
19167,Sioux,IA,0.82097649
19169,Story,IA,0.89221557
19171,Tama,IA,0.98170732
19173,Taylor,IA,0.81707317
19175,Union,IA,0.96062992
19177,Van Buren,IA,0.90163934
19179,Wapello,IA,0.85044643
19181,Warren,IA,0.86950732
19183,Washington,IA,0.7993311
19185,Wayne,IA,0.83823529
19187,Webster,IA,0.85494505
19189,Winnebago,IA,0.88622754
19191,Winneshiek,IA,0.91949153
19193,Woodbury,IA,0.90069444
19195,Worth,IA,0.86666667
19197,Wright,IA,0.94117647
16001,Ada,ID,0.83
16003,Adams,ID,0.6
16005,Bannock,ID,0.9
16007,Bear Lake,ID,0.86
16009,Benewah,ID,0.7
16011,Bingham,ID,0.82
16013,Blaine,ID,0.73
16015,Boise,ID,0.45
16017,Bonner,ID,0.64
16019,Bonneville,ID,0.88
16021,Boundary,ID,0.68
16023,Butte,ID,0.75
16025,Camas,ID,0.4
16027,Canyon,ID,0.79
16029,Caribou,ID,0.83
16031,Cassia,ID,0.82
16033,Clark,ID,0.5
16035,Clearwater,ID,0.77
16037,Custer,ID,0.66
16039,Elmore,ID,0.86
16041,Franklin,ID,0.84
16043,Fremont,ID,0.8
16045,Gem,ID,0.71
16047,Gooding,ID,0.72
16049,Idaho,ID,0.54
16051,Jefferson,ID,0.85
16053,Jerome,ID,0.89
16055,Kootenai,ID,0.7
16057,Latah,ID,0.78
16059,Lemhi,ID,0.76
16061,Lewis,ID,0.78
16063,Lincoln,ID,0.88
16065,Madison,ID,0.84
16067,Minidoka,ID,0.92
16069,Nez Perce,ID,0.86
16071,Oneida,ID,0.85
16073,Owyhee,ID,0.8
16075,Payette,ID,0.85
16077,Power,ID,0.86
16079,Shoshone,ID,0.7
16081,Teton,ID,0.67
16083,Twin Falls,ID,0.82
16085,Valley,ID,0.8
16087,Washington,ID,0.79
17001,Adams,IL,0.985
17003,Alexander,IL,0.933
17005,Bond,IL,0.985
17007,Boone,IL,0.969
17009,Brown,IL,0.977
17011,Bureau,IL,0.955
17013,Calhoun,IL,0.982
17015,Carroll,IL,0.961
17017,Cass,IL,0.979
17019,Champaign,IL,0.96
17021,Christian,IL,0.947
17023,Clark,IL,0.986
17025,Clay,IL,0.979
17027,Clinton,IL,0.977
17029,Coles,IL,0.957
17031,Cook,IL,0.948
17033,Crawford,IL,0.976
17035,Cumberland,IL,0.975
17037,DeKalb,IL,0.968
17039,De Witt,IL,0.978
17041,Douglas,IL,0.979
17043,DuPage,IL,0.959
17045,Edgar,IL,0.982
17047,Edwards,IL,0.982
17049,Effingham,IL,0.965
17051,Fayette,IL,0.961
17053,Ford,IL,0.968
17055,Franklin,IL,0.967
17057,Fulton,IL,0.975
17059,Gallatin,IL,0.979
17061,Greene,IL,0.986
17063,Grundy,IL,0.924
17065,Hamilton,IL,0.989
17067,Hancock,IL,0.982
17069,Hardin,IL,1
17071,Henderson,IL,0.966
17073,Henry,IL,0.972
17075,Iroquois,IL,0.971
17077,Jackson,IL,0.967
17079,Jasper,IL,0.967
17081,Jefferson,IL,0.972
17083,Jersey,IL,0.983
17085,Jo Daviess,IL,0.962
17087,Johnson,IL,0.978
17089,Kane,IL,0.956
17091,Kankakee,IL,0.947
17093,Kendall,IL,0.963
17095,Knox,IL,0.945
17097,Lake,IL,0.955
17099,LaSalle,IL,0.97
17101,Lawrence,IL,0.989
17103,Lee,IL,0.967
17105,Livingston,IL,0.963
17107,Logan,IL,0.946
17109,McDonough,IL,0.956
17111,McHenry,IL,0.957
17113,McLean,IL,0.971
17115,Macon,IL,0.97
17117,Macoupin,IL,0.979
17119,Madison,IL,0.974
17121,Marion,IL,0.974
17123,Marshall,IL,0.984
17125,Mason,IL,0.968
17127,Massac,IL,0.889
17129,Menard,IL,0.954
17131,Mercer,IL,0.971
17133,Monroe,IL,0.984
17135,Montgomery,IL,0.975
17137,Morgan,IL,0.978
17139,Moultrie,IL,0.956
17141,Ogle,IL,0.952
17143,Peoria,IL,0.966
17145,Perry,IL,0.989
17147,Piatt,IL,0.983
17149,Pike,IL,0.924
17151,Pope,IL,0.864
17153,Pulaski,IL,0.854
17155,Putnam,IL,0.973
17157,Randolph,IL,0.968
17159,Richland,IL,0.988
17161,Rock Island,IL,0.968
17163,St Clair,IL,0.98
17165,Saline,IL,0.97
17167,Sangamon,IL,0.978
17169,Schuyler,IL,0.987
17171,Scott,IL,0.977
17173,Shelby,IL,0.963
17175,Stark,IL,0.981
17177,Stephenson,IL,0.963
