date,total,twoweek,2025,2026,last_12mo
1/5/25,2,0,0,0,0
1/12/25,3,0,0,0,0
1/19/25,11,0,0,0,0
1/26/25,27,0,0,0,0
2/2/25,52,0,0,0,0
2/9/25,117,0,0,0,0
2/16/25,202,0,0,0,0
2/23/25,272,0,0,0,0
3/2/25,355,0,0,0,0
3/9/25,424,0,0,0,0
3/16/25,509,0,0,0,0
3/23/25,580,0,0,0,0
3/30/25,606,0,0,0,0
4/12/25,673,0,0,0,0
4/14/25,732,0,0,0,0
4/15/25,752,0,0,0,0
4/17/25,766,0,0,0,0
4/18/25,831,0,0,0,0
4/25/25,869,0,0,0,0
5/1/25,931,0,0,0,0
5/5/25,941,111,0,0,0
5/6/25,969,140,0,0,0
5/12/25,1008,100,0,0,0
5/21/25,1031,81,0,0,0
5/23/25,1067,63,0,0,0
5/27/25,1074,58,0,0,0
5/27/25,1087,66,0,0,0
5/28/25,1094,65,0,0,0
5/28/25,1094,65,0,0,0
5/28/25,1094,65,0,0,0
5/28/25,1094,65,0,0,0
5/30/25,1125,87,0,0,0
5/30/25,1125,87,0,0,0
5/30/25,1125,87,0,0,0
5/30/25,1126,85,0,0,0
5/30/25,1126,85,0,0,0
6/2/25,1126,84,0,0,0
6/2/25,1126,84,0,0,0
6/3/25,1145,89,0,0,0
6/3/25,1145,89,0,0,0
6/3/25,1151,96,0,0,0
6/3/25,1151,96,0,0,0
6/6/25,1155,74,0,0,0
6/6/25,1155,74,0,0,0
6/6/25,1159,79,0,0,0
6/6/25,1159,79,0,0,0
6/9/25,1164,79,0,0,0
6/9/25,1164,79,0,0,0
6/9/25,1164,79,0,0,0
6/9/25,1164,78,0,0,0
6/9/25,1164,78,0,0,0
6/9/25,1167,81,0,0,0
6/9/25,1167,81,0,0,0
6/10/25,1171,77,0,0,0
6/10/25,1171,77,0,0,0
6/10/25,1177,83,0,0,0
6/10/25,1177,83,0,0,0
6/13/25,1187,61,0,0,0
6/13/25,1187,61,0,0,0
6/17/25,1199,45,0,0,0
6/17/25,1199,45,0,0,0
6/18/25,1201,45,0,0,0
6/18/25,1201,45,0,0,0
6/20/25,1208,41,0,0,0
6/20/25,1208,41,0,0,0
6/20/25,1208,41,0,0,0
6/20/25,1208,41,0,0,0
6/20/25,1208,41,0,0,0
6/20/25,1208,41,0,0,0
6/20/25,1208,41,0,0,0
6/24/25,1218,38,0,0,0
6/24/25,1218,38,0,0,0
6/26/25,1229,37,0,0,0
6/26/25,1229,37,0,0,0
6/27/25,1237,43,0,0,0
6/27/25,1237,43,0,0,0
7/1/25,1257,51,0,0,0
7/1/25,1257,51,0,0,0
7/2/25,1265,56,0,0,0
7/2/25,1265,56,0,0,0
7/3/25,1268,55,0,0,0
7/3/25,1268,55,0,0,0
7/5/25,1274,57,0,0,0
7/5/25,1274,57,0,0,0
7/7/25,1277,57,0,0,0
7/7/25,1277,57,0,0,0
7/7/25,1281,61,0,0,0
7/7/25,1281,61,0,0,0
7/8/25,1283,54,0,0,0
7/8/25,1283,54,0,0,0
7/9/25,1293,62,0,0,0
7/9/25,1293,62,0,0,0
7/11/25,1299,58,0,0,0
7/11/25,1299,58,0,0,0
7/14/25,1301,47,0,0,0
7/14/25,1301,47,0,0,0
7/17/25,1311,29,0,0,0
7/17/25,1311,29,0,0,0
7/21/25,1312,22,0,0,0
7/21/25,1312,22,0,0,0
7/22/25,1316,23,0,0,0
7/22/25,1316,23,0,0,0
7/24/25,1322,25,0,0,0
7/24/25,1322,25,0,0,0
7/28/25,1326,22,0,0,0
7/28/25,1326,22,0,0,0
7/31/25,1331,19,0,0,0
7/31/25,1331,19,0,0,0
8/4/25,1346,31,0,0,0
8/4/25,1346,31,0,0,0
8/7/25,1352,28,0,0,0
8/7/25,1352,28,0,0,0
8/12/25,1356,30,0,0,0
8/12/25,1356,30,0,0,0
8/14/25,1360,29,0,0,0
8/14/25,1360,29,0,0,0
8/18/25,1366,20,0,0,0
8/18/25,1366,20,0,0,0
8/21/25,1378,26,0,0,0
8/21/25,1378,26,0,0,0
8/25/25,1388,32,0,0,0
8/25/25,1388,32,0,0,0
8/28/25,1401,40,0,0,0
8/28/25,1401,40,0,0,0
9/1/25,1410,41,0,0,0
9/1/25,1410,41,0,0,0
9/4/25,1432,54,0,0,0
9/4/25,1432,54,0,0,0
9/8/25,1439,51,0,0,0
9/8/25,1439,51,0,0,0
9/11/25,1452,51,0,0,0
9/11/25,1452,51,0,0,0
9/15/25,1474,48,0,0,0
9/15/25,1474,48,0,0,0
9/18/25,1488,44,0,0,0
9/18/25,1488,44,0,0,0
9/18/25,1491,45,0,0,0
9/18/25,1491,45,0,0,0
9/22/25,1500,41,0,0,0
9/22/25,1500,41,0,0,0
9/25/25,1515,47,0,0,0
9/25/25,1515,47,0,0,0
9/25/25,1520,52,0,0,0
9/25/25,1520,52,0,0,0
9/29/25,1522,43,0,0,0
9/29/25,1522,43,0,0,0
10/3/25,1549,54,0,0,0
10/3/25,1549,54,0,0,0
10/10/25,1569,45,0,0,0
10/10/25,1569,45,0,0,0
10/10/25,1569,45,0,0,0
10/10/25,1569,45,0,0,0
10/17/25,1603,48,0,0,0
10/17/25,1603,48,0,0,0
10/23/25,1603,48,0,0,0
10/24/25,1621,48,0,0,0
10/24/25,1621,48,0,0,0
10/31/25,1659,55,0,0,0
10/31/25,1659,55,0,0,0
10/31/25,1659,55,0,0,0
10/31/25,1659,55,0,0,0
11/7/25,1681,58,0,0,0
11/7/25,1681,58,0,0,0
11/7/25,1681,58,0,0,0
11/7/25,1681,58,0,0,0
11/14/25,1721,45,0,0,0
11/14/25,1721,45,0,0,0
11/14/25,1721,45,0,0,0
11/14/25,1721,45,0,0,0
11/14/25,1721,45,0,0,0
11/14/25,1721,45,0,0,0
11/14/25,1721,45,0,0,0
11/14/25,1721,45,0,0,0
