state,cases_total,imported,local,recent_two_weeks_cases_total,counties_affected
South Carolina,1004,7.0,997.0,0,
Texas,989,2.0,987.0,4,
Utah,711,0.0,711.0,8,
Arizona,341,4.0,337.0,11,
Virginia,182,2.0,180.0,0,
Florida,148,13.0,135.0,0,
Pennsylvania,147,8.0,139.0,27,
New Mexico,117,1.0,116.0,0,
Kansas,92,0.0,92.0,0,
California,81,30.0,51.0,4,
North Dakota,74,6.0,68.0,0,
New York,63,6.0,57.0,1,
Colorado,60,14.0,46.0,0,
Ohio,58,8.0,50.0,2,
Washington,58,17.0,41.0,1,
Michigan,44,8.0,36.0,0,
Minnesota,43,14.0,29.0,0,
Montana,41,7.0,34.0,0,
Wisconsin,38,11.0,27.0,0,
Oregon,32,1.0,32.0,7,
South Dakota,27,19.0,8.0,0,
Idaho,26,2.0,24.0,0,
North Carolina,25,5.0,20.0,0,
Wyoming,21,2.0,19.0,4,
Kentucky,18,3.0,15.0,0,
Oklahoma,18,0.0,18.0,0,
Illinois,18,3.0,15.0,0,
Maryland,15,14.0,1.0,8,
Georgia,15,7.0,8.0,0,
New Jersey,12,5.0,7.0,0,
Tennessee,11,0.0,11.0,0,
Indiana,11,1.0,10.0,0,
Iowa,10,3.0,7.0,0,
Missouri,8,1.0,7.0,0,
Arkansas,8,2.0,6.0,0,
Nebraska,6,2.0,4.0,0,
Maine,5,1.0,4.0,0,
Alaska,4,3.0,1.0,0,
Louisiana,4,3.0,1.0,0,
Delaware,4,0.0,4.0,4,
Rhode Island,3,3.0,0.0,0,
Hawaii,3,3.0,0.0,0,
Vermont,3,2.0,1.0,0,
Connecticut,3,1.0,2.0,0,
Nevada,2,0.0,2.0,0,
Massachusetts,2,2.0,0.0,0,
District of Columbia,1,1.0,0.0,0,
Alabama,1,1.0,0.0,0,
